Iter 554/915 took 2.71 seconds
Iter 555/915 took 2.67 seconds
Iter 556/915 took 2.77 seconds
Iter 557/915 took 2.83 seconds
Iter 558/915 took 2.84 seconds
Iter 559/915 took 2.75 seconds
Iter 560/915 took 2.77 seconds
Iter 561/915 took 2.74 seconds
Iter 562/915 took 2.71 seconds
Iter 563/915 took 2.76 seconds
Iter 564/915 took 2.74 seconds
Iter 565/915 took 2.84 seconds
Iter 566/915 took 2.73 seconds
Iter 567/915 took 2.69 seconds
Iter 568/915 took 2.85 seconds
Iter 569/915 took 2.76 seconds
Iter 570/915 took 2.78 seconds
Iter 571/915 took 2.75 seconds
Iter 572/915 took 2.79 seconds
Iter 573/915 took 2.75 seconds
Iter 574/915 took 2.83 seconds
Iter 575/915 took 2.70 seconds
Iter 576/915 took 2.73 seconds
Iter 577/915 took 2.74 seconds
Iter 578/915 took 2.71 seconds
Iter 579/915 took 2.67 seconds
Iter 580/915 took 2.62 seconds
Iter 581/915 took 2.72 seconds
Iter 582/915 took 2.62 seconds
Iter 583/915 took 2.64 seconds
Iter 584/915 took 2.63 seconds
Iter 585/915 took 2.64 seconds
Iter 586/915 took 2.67 seconds
Iter 587/915 took 2.70 seconds
Iter 588/915 took 2.71 seconds
Iter 589/915 took 2.74 seconds
Iter 590/915 took 2.73 seconds
Iter 591/915 took 2.77 seconds
Iter 592/915 took 2.83 seconds
Iter 593/915 took 2.90 seconds
Iter 594/915 took 2.66 seconds
Iter 595/915 took 2.82 seconds
Iter 596/915 took 2.75 seconds
Iter 597/915 took 2.88 seconds
Iter 598/915 took 2.92 seconds
Iter 599/915 took 2.89 seconds
Iter 600/915 took 3.05 seconds
Iter 601/915 took 2.89 seconds
Iter 602/915 took 2.71 seconds
Iter 603/915 took 2.70 seconds
Iter 604/915 took 2.81 seconds
Iter 605/915 took 2.76 seconds
Iter 606/915 took 2.65 seconds
Iter 607/915 took 2.71 seconds
Iter 608/915 took 2.64 seconds
Iter 609/915 took 2.68 seconds
Iter 610/915 took 2.74 seconds
Iter 611/915 took 2.72 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m_step_020000000.ckpt at global_step=20021248
Iter 612/915 took 2.71 seconds
Iter 613/915 took 2.74 seconds
Iter 614/915 took 2.63 seconds
Iter 615/915 took 2.68 seconds
Iter 616/915 took 2.65 seconds
Iter 617/915 took 2.68 seconds
Iter 618/915 took 2.69 seconds
Iter 619/915 took 2.63 seconds
Iter 620/915 took 2.73 seconds
Iter 621/915 took 2.67 seconds
Iter 622/915 took 2.70 seconds
Iter 623/915 took 2.64 seconds
Iter 624/915 took 2.67 seconds
Iter 625/915 took 2.65 seconds
Iter 626/915 took 2.65 seconds
Iter 627/915 took 2.67 seconds
Iter 628/915 took 2.67 seconds
Iter 629/915 took 2.65 seconds
Iter 630/915 took 2.71 seconds
Iter 631/915 took 2.67 seconds
Iter 632/915 took 2.66 seconds
Iter 633/915 took 2.62 seconds
Iter 634/915 took 2.61 seconds
Iter 635/915 took 2.64 seconds
Iter 636/915 took 2.69 seconds
Iter 637/915 took 2.67 seconds
Iter 638/915 took 2.71 seconds
Iter 639/915 took 2.78 seconds
Iter 640/915 took 2.68 seconds
Iter 641/915 took 2.67 seconds
Iter 642/915 took 2.72 seconds
Iter 643/915 took 2.71 seconds
Iter 644/915 took 2.67 seconds
